month,2015,2016,2017,2018,2019,2020,2021,2022
1,76.0,81.0,91.0,97.0,93.0,88.0,80.0,73.0
2,153.0,167.0,191.0,176.0,165.0,166.0,176.0,162.0
3,245.0,259.0,267.0,284.0,253.0,259.0,265.0,261.0
4,329.0,332.0,334.0,381.0,324.0,338.0,353.0,351.0
5,400.0,406.0,407.0,464.0,398.0,449.0,437.0,443.0
6,465.0,497.0,491.0,545.0,484.0,526.0,546.0,536.0
7,569.0,569.0,585.0,633.0,564.0,594.0,619.0,595.0
8,663.0,651.0,667.0,707.0,650.0,681.0,716.0,
9,745.0,728.0,737.0,761.0,728.0,740.0,798.0,
10,829.0,806.0,821.0,836.0,817.0,840.0,892.0,
11,906.0,883.0,904.0,912.0,893.0,931.0,966.0,
12,994.0,958.0,981.0,983.0,999.0,1020.0,1055.0,
